word,sentiment
"['쓰레기', '냄새', '방향제', '이상']",disgust
['프로젝트'],happiness
['마무리'],happiness
"['코로나', '때문', '재택근무', '중이', '외출', '우울', '우울하다', '하다']",sadness
"['그거', '기분', '기분전환', '전환', '해야']",sadness
[],sadness
['난리'],fear
"['오늘', '일동안', '동안', '휴간', '휴간데', '휴가', '휴가기간', '기간', '비가', '온대']",angry
"['동안', '일년만', '휴간', '휴간데']",angry
"['휴가', '엉망']",angry
"['여행', '가기', '방법', '겠어']",angry
"['영화', '하나']",angry
[],surprise
"['영화', '재미', '하나']",angry
"['새벽', '천둥', '천둥번개', '번개', '소리', '때문']",surprise
"['천둥', '번개', '소리']",surprise
"['피해', '다행']",surprise
['피해'],surprise
"['지금', '목줄', '사야']",surprise
"['지금', '목줄', '겠어']",surprise
"['요즘', '주식']",sadness
"['지인', '추천', '주식', '구입']",sadness
"['시작', '얼마', '손해가', '계속', '오기', '원금', '생각']",sadness
"['주식', '시작', '얼마']",sadness
"['해피', '산책']",surprise
"['목줄', '해피']",surprise
"['해피', '사람', '사과']",surprise
"['아까', '해피', '사람', '걱정']",surprise
"['축하', '기분']",happiness
"['동안', '결승선', '통과', '순간', '기분']",happiness
['크루'],happiness
"['이벤트', '당첨']",happiness
"['인플', '언서', '진행', '이벤트', '당첨']",happiness
"['당첨자', '내가', '행운']",happiness
"['당첨', '선물', '예전', '향수', '마음']",happiness
"['친구', '이벤트', '당첨', '이야기']",happiness
"['내가', '동안', '비가', '우리', '동네', '홍수', '피해', '지역']",fear
['혼자'],fear
"['다행', '아무데', '혼자']",fear
"['요즘', '이해']",angry
"['유튜버', '뒷광고', '광고', '시청자', '사과', '영상']",angry
"['기분', '기분전환', '전환', '영상']",angry
"['기분', '기분전환', '전환', '영상']",angry
"['내일', '친구', '약속', '무엇', '고민']",neutral
"['강남', '강남역']",neutral
"['애피타이', '타이']",neutral
"['그거', '친구', '상의']",neutral
['프로젝트'],happiness
"['주말', '고생', '어제', '어제부']",happiness
"['그거', '신나', '음악', '부탁']",happiness
"['나위', '구들', '상의']",happiness
"['구들', '여행', '계획']",happiness
['요즘'],sadness
"['사람', '활동', '코로나']",sadness
"['햇빛', '사람', '이랑', '활기', '계속']",sadness
"['음악', '추천', '부탁']",sadness
"['영화', '금상첨화']",sadness
"['요즘', '이해']",angry
"['유튜버', '제품', '소개', '광고']",angry
"['사람', '신뢰도']",angry
"['사과', '우리', '증거', '사과야', '진정']",angry
"['영상', '하나', '부탁']",angry
[],fear
"['동네', '물바다', '혼자']",fear
"['업어가', '어가', '재난', '문자']",fear
"['동네', '바다', '우리', '나가도', '가도']",fear
"['우리', '라도']",fear
"['친구', '양식']",neutral
"['평점', '리뷰', '친구', '기대']",neutral
"['평점', '리뷰', '추천', '친구']",neutral
"['노트북', '만원', '주고']",happiness
"['노트북', '보험', '가입', '생각', '겠어']",happiness
"['노트북', '보험', '가입', '생각', '겠어']",happiness
"['쓰레기', '쓰레기통', '냄새']",disgust
"['음식물', '쓰레기', '내가', '쓰레기통']",disgust
"['음식물', '쓰레기', '내가', '쓰레기통', '벌레']",disgust
"['쓰레기', '쓰레기통', '냄새']",disgust
"['쓰레기', '쓰레기통', '냄새', '음식물']",disgust
"['냄새', '날파리', '당장']",disgust
"['냄새', '방향제']",disgust
"['내가', '음식물', '쓰레기', '쓰레기통', '청소']",disgust
"['화장실', '청소', '곰팡이', '지질']",angry
"['습기', '환기', '청소', '곰팡이']",angry
"['곰팡이', '제거제', '사용', '효과']",angry
"['곰팡이', '제거제', '효과', '한번', '구매']",angry
"['프로젝트', '최종', '발표']",happiness
"['기분', '음악']",happiness
"['프로젝트', '달동안', '동안', '친구', '약속', '겠어']",happiness
"['오랜만', '여기저기', '여행', '마음', '여유']",happiness
"['구들', '바다']",angry
"['소리', '천둥', '천둥번개', '번개']",surprise
"['천둥', '천둥번개', '번개', '소리', '처음']",surprise
"['천둥', '천둥번개', '번개', '피해', '다행', '내가']",surprise
"['천둥', '천둥번개', '번개', '내가', '피해']",surprise
"['주가', '생각', '고민']",sadness
"['주가', '걱정']",sadness
"['마음', '진정', '해피', '사람', '다행']",surprise
[],sadness
"['코로나', '재택근무', '시작', '마음']",sadness
"['음악', '영화']",sadness
"['음악', '영화']",sadness
"['이벤트', '당첨']",happiness
"['향수', '당첨', '당첨선물', '선물', '주변', '사람', '자랑']",happiness
"['향수', '당첨', '당첨선물', '선물', '친구', '자랑']",happiness
"['요즘', '이해']",angry
"['유튜', '뒷광고', '광고', '실망', '화가']",angry
"['기분', '영상', '하나']",angry
"['지금', '영상']",angry
[],fear
"['비로', '물바다래', '다래']",fear
"['물이', '오진', '혼자']",fear
"['물이', '오진', '혼자']",fear
"['내일', '친구', '무엇']",neutral
"['강남', '강남역', '식당']",neutral
['소개'],neutral
"['완전', '환상적', '피타이', '타이', '금상첨화']",neutral
"['친구', '상의']",neutral
['프로젝트'],happiness
"['사람', '활동', '코로나', '일상']",sadness
"['하루', '하루종일', '종일']",sadness
"['기분', '음악', '추천']",sadness
"['영화', '행복']",sadness
"['유튜버', '추천', '나도', '제품', '하나', '광고']",angry
"['실망', '이루', '말로', '사과', '우리', '증거', '그때']",angry
"['영상', '하나', '부탁']",angry
"['나의', '복잡', '마음', '호수', '영상', '부탁']",angry
"['동네', '물바다', '혼자', '집안']",fear
"['바보', '재난', '재난문자', '문자', '전화', '혼자']",fear
['사방'],fear
['일단'],fear
"['일식', '이것', '친구', '무엇']",neutral
['그것'],neutral
"['추천', '부탁']",neutral
['프로젝트'],happiness
['동안'],happiness
"['음악도', '친구']",happiness
"['내일', '친구', '무엇']",neutral
"['강남', '강남역', '친구', '무엇']",neutral
"['강남', '강남역', '맛집', '선택', '일식', '친구']",neutral
"['평점', '리뷰', '한번', '친구']",neutral
"['평점', '리뷰', '한번', '음식점']",neutral
"['구매', '노트북', '도착']",happiness
"['노트북', '상태', '작동', '문제', '한곳']",happiness
"['바깥', '작업', '컴퓨터', '보험', '생각', '겠어']",happiness
"['작업', '컴퓨터', '보험', '가입', '생각', '겠어']",happiness
"['화장실', '청소', '곰팡이']",angry
"['화장실', '습기', '환기', '청소', '곰팡이', '지지']",angry
"['장마철', '습기', '화장실', '곰팡이', '청소']",angry
"['곰팡이', '제거제', '화장실', '제거', '효과']",angry
"['곰팡이', '제거제', '제거', '효과', '나도', '구매', '제품']",angry
"['쓰레기', '쓰레기통', '냄새']",disgust
"['쓰레기', '쓰레기통', '이상한', '냄새', '예전', '음식물', '음식물쓰레기']",disgust
['행운'],happiness
"['프로젝트', '이번', '기회', '여행', '마음', '휴식', '와야']",happiness
"['이벤트', '당첨']",happiness
"['인플', '서가', '이벤트', '내가']",happiness
"['한명', '거기', '내가']",happiness
"['그동안', '노력', '결과']",happiness
"['휴가', '엉망']",angry
['음악'],happiness
"['여름', '휴가', '하면', '바다', '바다잖']",angry
"['일년', '휴가']",angry
"['하늘', '원망', '영화', '게임']",angry
"['지인', '소개', '시작']",sadness
"['지금', '산책']",surprise
"['축하', '기분']",happiness
"['화장실', '청소', '곰팡이', '사라지']",angry
"['순간', '결승선', '피로', '시더']",happiness
"['환기', '청소', '곰팡이']",angry
"['지인', '소개']",sadness
"['처음', '손해']",sadness
"['지금', '끝장']",sadness
"['쓰레기', '쓰레기통', '냄새']",disgust
[],surprise
"['쓰레기', '봉지', '냄새', '벌레']",disgust
"['잠결', '폭탄', '소리', '소린', '처음']",surprise
"['나도', '처음']",surprise
['진정'],surprise
"['환기', '청소']",disgust
"['피해', '다행']",surprise
"['화장실', '청소', '곰팡이', '지질']",angry
"['만원', '오십', '오십만원', '정도']",happiness
"['상품', '마음']",happiness
"['곰팡이', '제거제', '그것']",angry
['구매'],angry
"['내가', '음식물', '쓰레기', '그곳']",disgust
"['냄새', '지지']",disgust
[],disgust
"['구매', '노트북', '도착']",happiness
['정보'],happiness
"['내가', '달리기', '운동', '마라톤', '대회', '출전', '기록']",happiness
"['크루', '응원', '격려']",happiness
['크루'],happiness
"['아까', '해피', '때문', '마음', '진정']",surprise
"['이벤트', '당첨']",happiness
"['향수', '당첨', '선물', '주위', '사람', '자랑']",happiness
[],sadness
"['요즘', '이해']",angry
"['유튜버', '뒷광고', '광고', '시청자', '사과', '영상']",angry
"['지금', '영상']",angry
"['내일', '친구', '무엇']",neutral
['소개'],neutral
"['애피타이저가', '타이', '저가', '소개']",neutral
"['기대', '친구', '의논']",neutral
"['친구', '약속']",happiness
['요즘'],sadness
"['사람', '활동', '친구', '코로나', '일상']",sadness
"['수록', '우울']",sadness
"['영화', '소개']",sadness
"['요즘', '거지', '이해', '안가']",angry
"['유튜버', '소개', '제품', '광고']",angry
"['실망', '우리', '사과', '강제']",angry
"['스트레스', '영상', '부탁']",angry
[],fear
"['이벤트', '당첨']",happiness
"['인플', '서가', '이벤트', '신청']",happiness
['내가'],happiness
"['휴가', '엉망진창']",angry
"['해피', '산책']",surprise
"['아저씨', '다행']",surprise
"['니야', '선수', '내가', '노력', '결과']",happiness
"['결승선', '순간']",happiness
"['요즘', '주식']",sadness
"['내가', '주식']",sadness
"['지금', '팔면', '반토막', '토막']",sadness
"['잠결', '사실', '천둥', '소리']",surprise
"['화장실', '청소', '곰팡이', '사라지']",angry
"['곰팡이', '제거제', '생각']",angry
"['내가', '음식물', '쓰레기', '쓰레기통']",disgust
"['내가', '자업자득']",disgust
"['알바', '알바비', '거기']",happiness
['보험'],happiness
"['음식점', '강남', '강남역']",neutral
['프로젝트'],happiness
"['구들', '내일', '약속']",happiness
"['그것', '내일', '구들', '계획']",happiness
"['회사', '재택', '재택근무', '근무']",sadness
[],angry
"['사람', '느낌', '기분', '영상']",angry
"['친구', '양식']",neutral
"['냄새', '날파리', '쓰레기']",disgust
"['친구', '시간', '어디', '여행']",happiness
"['환기', '청소', '곰팡이', '지지']",angry
"['프로젝트', '일년만', '휴가']",angry
"['이벤트', '당첨']",happiness
"['사람', '주식', '추천', '구입']",sadness
"['주식', '하나']",sadness
[],surprise
"['동안', '결승선', '순간', '기분', '마음']",happiness
[],sadness
"['요즘', '이해']",angry
"['짜증', '영상']",angry
[],fear
['혼자'],fear
"['내일', '친구', '무엇']",neutral
"['일식', '친구']",neutral
['프로젝트'],happiness
"['그것', '생각', '오랜만', '친구']",happiness
"['요즘', '거지', '이해']",angry
"['유튜버들', '가짜', '허위', '광고', '짜증', '무엇']",angry
"['사과', '진실성']",angry
"['바깥', '물난리']",fear
['바깥'],fear
"['이벤트', '당첨']",happiness
"['평소', '향수']",happiness
"['휴가', '엉망']",angry
['사람'],surprise
"['난리', '도망', '사람', '미안']",surprise
"['노력', '요번', '한참', '기록']",happiness
"['요즘', '주식']",sadness
[],surprise
['지금'],surprise
"['환기', '지지', '청소']",angry
"['내가', '사서', '거랑', '추천']",angry
"['쓰레기', '쓰레기통', '냄새']",disgust
"['며칠', '음식', '내가', '쓰레기', '쓰레기통']",disgust
"['영화', '보고', '게임', '음악도', '채팅', '기분']",happiness
"['이벤트', '당첨']",happiness
"['인플', '서가', '이벤트', '신청']",happiness
['내가'],happiness
"['마음', '선물', '이벤트', '내가', '신청', '한번', '해본', '거지', '향수']",happiness
"['이제', '자랑']",happiness
"['휴가', '엉망진창']",angry
"['휴가', '시작', '동시', '장마', '하루', '종일', '비가']",angry
"['여름', '휴가', '바다']",angry
"['동안', '휴가', '년만']",angry
"['영화', '게임', '소개']",angry
"['해피', '산책']",surprise
"['해피', '산책', '산책하다', '하다', '목줄', '지금', '심장']",surprise
[],surprise
"['주변', '이해', '주시', '내가']",surprise
"['지금', '진정', '다음', '조심']",surprise
"['축하', '기분']",happiness
"['이번', '마라토너', '기록']",happiness
"['선수', '기록', '동안', '내가', '노력', '결과']",happiness
['크룬'],happiness
"['서로', '의지', '운동', '사람', '덕분', '여기']",happiness
"['요즘', '주식', '후회']",sadness
"['지인', '연락', '주식', '시작']",sadness
"['주식', '바이오', '이래']",sadness
['처음'],sadness
"['지금', '팔면', '반토막', '토막']",sadness
[],surprise
"['잠결', '폭탄', '폭발', '소리', '리드']",surprise
"['실제', '폭탄', '천둥', '소리']",surprise
"['천둥', '다행']",surprise
"['천둥', '소리', '문제']",surprise
"['화장실', '청소', '곰팡이', '지질']",angry
"['우리', '화장실', '창문', '하나', '습기']",angry
"['장마철', '곰팡이', '래서', '하루', '종일', '락스', '머리', '이젠']",angry
"['곰팡이', '제거제', '아이', '청소']",angry
"['구매', '당장']",angry
"['쓰레기', '쓰레기통', '냄새', '나기']",disgust
"['며칠', '음식물', '쓰레기', '때문']",disgust
"['냄새', '사라지']",disgust
"['음식물', '쓰레기', '냄새', '방향제', '이상']",disgust
"['잘못', '다음']",disgust
"['구매', '노트북', '도착']",happiness
"['알바', '알바비', '거기', '때문']",happiness
['걱정'],happiness
"['영화', '동안', '드라마', '예능', '프로그램', '프로젝트']",happiness
"['보험', '당장', '가입']",happiness
"['내일', '친구', '무엇', '고민']",neutral
"['음식점', '소문', '강남', '강남역']",neutral
"['일식', '양식']",neutral
['에피타이저'],neutral
"['친구', '의논', '내일']",neutral
['프로젝트'],happiness
"['동안', '주말', '반납', '프로젝트']",happiness
['음악'],happiness
"['약속', '내일']",happiness
"['내일', '구들', '여행', '계획', '생각']",happiness
"['우울', '매일']",sadness
"['햇빛', '마음']",sadness
"['음악', '추천']",sadness
"['영화', '내가']",sadness
"['요즘', '이해']",angry
"['유튜버', '제품', '하나', '소개', '나도', '광고']",angry
"['실망', '우리', '증거', '사과']",angry
"['사과', '진정', '우리', '상처', '느낌']",angry
"['기분', '영상', '필요', '생각', '부탁']",angry
['혼자'],fear
"['마을', '물바다', '혼자']",fear
"['내가', '업어가', '어가', '재난', '문자', '피하', '전화']",fear
"['우리', '주위']",fear
['우리'],fear
"['내일', '친구', '무엇']",neutral
"['강남', '강남역', '무엇']",neutral
"['강남', '강남역', '맛집', '일식']",neutral
"['평점', '리뷰']",neutral
"['평점', '리뷰', '추천', '친구']",neutral
['프로젝트'],happiness
"['프로젝트', '최종', '발표', '마음']",happiness
"['음악', '심정', '기분']",happiness
"['프로젝트', '동안', '친구']",happiness
"['시간', '여행', '마음', '힐링']",happiness
"['휴가', '엉망']",angry
"['오늘', '휴가', '기간', '소식', '짜증']",angry
"['가족', '동해', '바다']",angry
"['휴가', '기간', '방법']",angry
"['휴가', '기간', '방법']",angry
"['구매', '노트북', '도착']",happiness
"['오자', '마자', '노트북', '여기', '저기', '문제', '성능']",happiness
"['노트북', '지금', '구상', '만화']",happiness
"['작업', '노트북', '보험', '가입', '생각', '겠어']",happiness
"['쓰레기', '쓰레기통', '냄새', '음식물']",disgust
"['쓰레기', '쓰레기통', '냄새', '진동', '날파리', '당장']",disgust
"['냄새', '방향제', '해결']",disgust
"['내가', '쓰레기', '쓰레기통', '음식물']",disgust
"['화장실', '청소', '곰팡이', '지질']",angry
"['화장실', '환기', '곰팡이']",angry
"['계속', '비가', '습기', '곰팡이', '청소']",angry
"['화장실', '곰팡이', '제거제', '효과']",angry
"['곰팡이', '제거제', '효과', '한번', '구매', '추천']",angry
[],sadness
"['코로나', '때문', '재택', '근무', '시작']",sadness
"['대면', '처리', '기력']",sadness
"['기분', '우울', '음악']",sadness
"['노래', '영화']",sadness
"['해피', '산책']",surprise
"['해피', '목줄']",surprise
"['아까', '해피', '때문', '진정', '마음']",surprise
"['아까', '해피', '때문', '마음', '진정']",surprise
"['이벤트', '당첨']",happiness
"['인플', '언서', '진행', '이벤트', '당첨']",happiness
"['향수', '선물', '주변', '사람', '이야기']",happiness
"['마라톤', '대회', '출전', '이전', '기록', '경신']",happiness
"['내가', '운동', '연습', '마라톤', '대회', '출전', '성적']",happiness
"['동안', '결승선', '순간', '기분']",happiness
['크루'],happiness
[],surprise
"['천둥', '번개', '소리', '때문']",surprise
"['천둥', '번개', '소리', '때문']",surprise
"['천둥', '번개', '소리', '때문', '어제', '오늘', '아침']",surprise
"['피해', '다행']",surprise
"['요즘', '주식']",sadness
"['사람', '주식', '추천', '구입']",sadness
"['주식', '시간', '나도', '손해']",sadness
"['주식', '생각', '겠어']",sadness
"['유튜버', '뒷광고', '광고', '시청자', '사과', '영상']",angry
"['며칠', '자기', '뒷광고', '광고', '이야기', '사과', '영상', '어이', '실망']",angry
"['지금', '기분', '전환', '영상', '보기']",angry
"['기분', '전환', '영상']",angry
[],fear
['혼자'],fear
"['주변', '상황']",fear
"['혼자', '자체']",fear
"['내일', '친구', '무엇', '걱정']",neutral
"['음식점', '강남', '강남역']",neutral
"['일식', '친구', '양식']",neutral
"['피타이', '타이', '금상첨화지', '상첨', '화지', '부탁']",neutral
"['내일', '친구']",neutral
['프로젝트'],happiness
"['주말', '반납']",happiness
['음악'],happiness
"['구들', '약속', '내일']",happiness
"['내일', '구들', '여행', '계획', '음악']",happiness
"['우울', '매일']",sadness
"['코로나', '일상', '회사', '재택', '근무']",sadness
"['사람', '활동']",sadness
"['우울증', '탈퇴']",sadness
"['노래', '영화', '큐지']",sadness
[],angry
"['유튜버', '제품', '소개', '광고']",angry
"['실망', '우리', '증거', '사과', '나중']",angry
"['사과', '진정', '털끝', '털끝만큼', '만큼']",angry
"['기분', '영상', '추천']",angry
['혼자'],fear
"['우리', '동네', '물바다']",fear
"['내가', '재난', '재난문자', '문자', '대피', '대피전화', '전화', '혼자']",fear
"['우리집', '주변', '물바다']",fear
"['집안', '통로', '기분', '우울']",fear
"['이벤트', '당첨']",happiness
"['인플', '언서', '파격', '이벤트', '신청']",happiness
"['내가', '당첨']",happiness
"['완전', '향수']",happiness
['이제'],happiness
"['휴가', '엉망진창']",angry
"['오랜만', '휴가', '장마철', '하루', '하루종일', '종일', '비가', '오고']",angry
"['여름휴가', '바다', '엉망진창']",angry
['회사'],angry
"['이번', '이번년도', '년도', '휴가', '포기', '영화', '게임', '추천']",angry
"['해피', '산책']",surprise
"['다행', '해피']",surprise
"['주변', '위로', '위로해주시더', '시더', '감사']",surprise
['가슴'],surprise
"['축하', '기분']",happiness
"['이번', '마라톤', '대회', '참가', '내가', '생각', '기록']",happiness
"['니야', '선수', '기록', '도착']",happiness
"['요즘', '주식']",sadness
"['지인', '카톡으', '주식', '정보', '시작']",sadness
['고민'],sadness
"['화장실', '청소', '곰팡이', '지질']",angry
"['우리집', '환기', '창문']",angry
"['곰팡이', '계속', '락스', '청소', '머리']",angry
"['당장', '구매', '추천']",angry
"['당장', '구매', '제품', '추천']",angry
"['쓰레기', '쓰레기통', '냄새', '나기']",disgust
"['내가', '음식물', '쓰레기', '쓰레기통']",disgust
"['냄새', '사라지']",disgust
"['방향제', '냄새', '음식물', '쓰레기', '이상']",disgust
"['구매', '노트북', '도착']",happiness
"['제품', '알바', '알바비', '거기', '때문']",happiness
['걱정'],happiness
"['영화', '드라마', '예능', '예능프로', '프로', '중요', '프로젝트']",happiness
"['오호', '정보', '당장', '가입']",happiness
"['내일', '친구', '무엇']",neutral
"['내일', '강남', '강남역', '친구', '무엇']",neutral
"['강남', '강남역', '맛집', '양식', '친구']",neutral
"['에피타이저부터', '기대']",neutral
"['평점', '리뷰', '추천', '친구']",neutral
['프로젝트'],happiness
"['최종', '발표', '프로젝트']",happiness
"['음악', '정도', '기분']",happiness
"['프로젝트', '동안', '친구', '이번', '기회']",happiness
"['그동안', '프로젝트', '이번', '기회', '여행', '힐링', '시간', '겠어']",happiness
"['휴가', '엉망']",angry
"['오늘', '일주일', '일주일동안', '동안', '휴간', '휴간데', '휴가', '휴가기간', '기간', '비가', '온대']",angry
"['오랜만', '가족', '동해', '동해바다', '바다', '비가']",angry
"['프로젝트', '일년만', '휴가', '아무데']",angry
"['휴가', '기간', '비소식', '소식', '여행', '포기', '방법']",angry
"['쓰레기', '쓰레기통', '냄새']",disgust
"['쓰레기', '쓰레기통', '이상한', '냄새', '음식물', '음식물쓰레기']",disgust
"['쓰레기', '쓰레기통', '냄새', '고약', '날파리', '당장', '음식물', '음식물쓰레기']",disgust
"['냄새', '고약', '방향제', '처리']",disgust
"['음식물', '음식물쓰레기', '쓰레기', '쓰레기통', '잘못', '냄새', '냄새안']",disgust
"['구매', '노트북', '오늘', '도착', '만원', '정도', '주고']",happiness
"['노트북', '도착', '문제', '여기저기']",happiness
"['노트북', '동화책', '글쓰기', '작업', '할거', '기대']",happiness
"['노트북', '보험', '가입', '생각', '겠어']",happiness
"['화장실', '청소', '곰팡이', '지질']",angry
"['요새', '환기', '화장실', '곰팡이', '신경']",angry
"['곰팡이', '제거제', '화장실', '효과']",angry
"['곰팡이', '제거제', '효과', '나도', '한번', '구매', '추천']",angry
[],sadness
"['요새', '코로나', '때문', '재택근무', '시작', '집안', '마음']",sadness
"['일처리', '처리', '대면', '하다', '기력']",sadness
"['기분', '우울', '음악']",sadness
"['음악', '영화', '장르', '추천']",sadness
"['해피', '산책']",surprise
"['해피', '목줄']",surprise
"['해피', '때문']",surprise
"['해피', '사람', '주변', '소리']",surprise
"['해피', '사람', '지금', '마음', '진정']",surprise
"['동안', '결승선', '통과', '순간', '기분']",happiness
"['크루', '격려']",happiness
"['언서', '진행', '이벤트', '당첨', '기분']",happiness
"['당첨자', '내가', '당첨']",happiness
"['자랑', '향수', '선물']",happiness
"['향수', '선물', '사람', '이야기']",happiness
[],surprise
"['천둥', '천둥번개', '번개', '소리']",surprise
"['천둥', '천둥번개', '번개', '소리', '처음']",surprise
"['어제', '천둥', '번개', '소리', '오늘', '아침']",surprise
"['천둥', '천둥번개', '번개', '소리', '피해', '걱정', '다행']",surprise
"['요즘', '주식']",sadness
"['사람', '주식', '하면서', '입하', '추천']",sadness
"['전자', '전자쪽', '주식', '구입', '하면서', '입하', '종목']",sadness
"['시간', '수록', '주가', '손해']",sadness
"['주가', '생각', '겠어']",sadness
"['요즘', '이해']",angry
"['유튜버', '뒷광고', '광고', '시청자', '사과', '영상']",angry
"['마음', '진정', '영상', '하나', '추천']",angry
['혼자'],fear
"['내가', '동안', '우리', '동네', '홍수', '피해', '피해지역', '지역', '고립']",fear
['걱정'],fear
"['물이', '걱정']",fear
"['소리야', '대화', '완료']",neutral
"['강남', '강남역']",neutral
"['강남', '강남역']",neutral
"['음악', '심정']",happiness
"['동안', '프로젝트', '친구']",happiness
"['프로젝트', '머리', '여행', '바람']",happiness
"['음악', '거랑', '영화', '재미', '추천']",sadness
"['진심', '축하', '기분']",happiness
"['곰팡이', '제거제', '제거', '효과', '하나', '추천']",angry
"['노트북', '만화', '작업']",happiness
"['노트북', '보험', '가입', '생각', '겠어']",happiness
"['요즘', '하나', '건강', '상태']",neutral
"['무지', '화가', '영상', '추천']",angry
"['작업', '노트북', '보험', '가입']",happiness
"['아까', '해피', '해피때문', '때문', '마음', '진정']",surprise
"['손해', '이번', '고민', '겠다']",sadness
"['에휴', '내가', '쓰레기']",disgust
"['평점', '리뷰', '기대', '추천', '친구']",neutral
"['요즘', '거지', '이해']",angry
[],sadness
[],sadness
['손해'],sadness
[],sadness
"['친구', '자랑', '행운']",happiness
"['추천', '친구']",neutral
['추천'],neutral
"['요즘', '이해']",angry
"['유튜버', '시청자', '뒷광고', '광고', '사과', '영상']",angry
"['자신', '뒷광고', '광고', '오늘', '사과', '영상', '짜증']",angry
"['사과', '영상', '자기', '변명', '진실']",angry
"['짜증', '영상']",angry
[],sadness
"['동안', '프로젝트', '친구', '방법']",happiness
"['오랜만', '여행', '의미']",happiness
"['휴가', '엉망']",angry
"['오늘', '일주일', '동안', '휴가', '기간', '비가', '온대']",angry
"['가족', '동해', '바다']",angry
"['일년만', '휴가', '비가', '도움']",angry
"['휴가', '기간', '소식', '생각']",angry
"['노트북', '배송', '걱정', '오늘', '도착', '기분', '만원', '구매']",happiness
"['노트북', '보험', '생각']",happiness
"['노트북', '메뉴', '메뉴얼', '생각']",happiness
"['화장실', '곰팡이', '청소']",angry
